"AFTER finishing for you, my sons, this book which is the part of knowledge dealing with medicine in its entirety; and having made it as clear and explicit as possible, I thought it well to complete it for you by adding this treatise which concerns surgical operating.","قال واضع هذا الكتاب: لما أكملت لكم يا بَنيّ هذا الكتاب الذي هو جزء العلم في الطب بكماله، وبلغت الغاية فيه من وضوحه وبيانه، فرأيت أن أكمله لكم بهذه المقالة، التي هي جزء العمل باليد،"
"For the skilled practitioner of operative surgery is totally lacking in our land and time; so that the knowledge of it is on the point of being blotted out and its remains lost; and there is nothing left of it except a few traces in the books of the Ancients; where, however, it has been so corrupted by the hands of scribes, and subjected to error and confusion, that its meaning has become obscured and its value diminished.","لأن العمل باليد مُحسٍنه في بلدنا وفي زماننا معدوم البتّة، حتى كاد أن يدرِس علمه، وينقطع أثره، وإنما بقي منه رسوم يسيرة من كتب الأوائل، قد صحّفته الأيدي، وواقعه الخطأ والتشويش حتى استغلقت معانيه وبعدت فائدته،"
"Therefore I decided to revive this art by expounding, elucidating, and epitomizing it in this treatise; and to present the forms of the cauterizing irons and other operative instruments, since this is an adjunct to explanation and a vital necessity.","فرأيت أن أُحييَه، وأؤلف فيه هذه المقالة، على طريق الشرح والبيان والاختصار، وأن آتي بصور حدايد الكي، وسائر آلات العمل باليد، إذ هو من زيادة البيان، ومن وكيد ما يُحتاج إليه،"
"Now this is the reason why there is no skilful operator in our day: the art of medicine is Long and it is necessary for its exponent, before he exercises it, to be trained in anatomy as Galen has described it, so that he may be fully acquainted with the uses, forms, and temperament of the limbs; also how they are jointed, and how they may be separated; that he should understand fully also the bones, tendons, and muscles, their numbers and their attachments; and also the blood vessels, both arteries and veins, with their relations.","والسبب الذي له لا يوجد صانعاً محسناً بيده في زماننا هذا، لأن صناعة الطب طويلة، وينبغي لصاحبها أن يرتاض قبل ذلك في علم التشريح، الذي وضعه جالينوس، حتى يقف على منافع الأعضاء، وهيآتها ومزاجاتها واتصالها وانفصالها، ومعرفة العظام والأعصاب والعضلات، وعددها ومخارجها، والعروق النوابض والسواكن، ومعرفة مخارجها،"
,
"And so Hippocrates said: ‘Though many are doctors in name, few are in reality, particularly on the surgical side'","ولذلك قال أبقراط: إن الأطباء بالاسم كثير، وبالفعل قليل، ولا سيما في صناعة اليد."
We have already spoken of this in the introduction to this book.,"وقد ذكرنا نحن من ذلك طرفاً في المدخل من هذا الكتاب، "
,
For he who is not skilled in as much anatomy as we have mentioned is bound to fall into error that is destructive of life.,"لأنه من لم يكن عالماً بما ذكرنا من التشريح، لم يخْلُ أن يقع في خطأ يقتل الناس به،"
,
"Thus I have seen many laying claim to this knowledge and boasting of it, but having neither knowledge nor experience.",كما قد شاهدت كثيراً ممن تصوّر في هذا العلم وادّعاه بغير علمٍ ولا دُرْبَةٍ؛
I saw an ignorant doctor incise a scrofulous,"وذلك أني رأيت طبيباً جاهلاً قد شقّ على ورم خنزيري في عنق امرأة، فأبرا بعض شريانات العنق فنزف دم المرأة، حتى سقطت ميّتة بين يديه."
tumour in a woman's neck; and he cut certain arteries in the neck so that the woman bled until she fell dead before him.,
And I saw another doctor presume to take out a stone from a man of advanced age.,"ورأيت طبيباً آخر، قد تقدم في إخراج حصاة لِرَجُل قد طعن في السن،"
The stone was large; he rushed blindly at the task and extracted the stone and with it a,"وكانت الحصاة كبيرة، فتهور عليها، فأخرجها بقطعة من جرم المثانة، فمات الرجل إلى نحو ثلاثة أيام،"
piece of the bladder itself; and the man was dead in about three days.,
I had myself been previously called in to extract the stone but from what I saw of the size of it and the condition of the patient I judged that the outcome would be so.,"وكنت قد دُعيت إلي إخراجها، فرأيت من عِظَمِ الحصاة، وحالِ العليل، ما قدّرت عليه ذلك."
I saw another doctor who had a regular salary from one of the high officers of our country for medical treatment.,"ورأيت طبيباً آخر، كان يرتزق عند بعض قواد بلدنا على الطب،"
"There had occurred to a negro boy of his a fracture of the leg near the heel, together with a wound; the doctor rushed in, in his ignorance, and bound up the fracture, over the wound, very tightly, with pads and splints, not allowing the wound to breathe.","فحدث لصقلي أسود، كان عنده كسر في ساقه، بقرب العقب، مع جرح، فأسرع الطبيب بجهله فشد الكسر على الجرح بالرفايد والجبائر شداً وثقياً، ولم يترك للجرح تنفساً،"
He then let him go as he wished and then dismissed him for some days bidding him not to loose the bandage.,"ثم أطلقه على شهواته، ثم تركه أياماً وأمره أن لا يحل الرباط،"
Eventually his leg and foot swelled and he was close to death.,"حتي تورم ساقه وقدمه، وأشرف على الهلاك،"
"I was called in and made haste to loose the bandage, upon which some ease and reduction of the pain followed.","فدُعيت إليه، فأسرعت في حل الرباط، فنال الراحة، واستقل من أوجاعه، "
,
,
"Nevertheless, gangrene had already taken hold on the limb and I could not hinder its progress; it continued to extend in the limb until he perished.","إلا أن الفساد كان استحكم في العضو، ولم أستطع إرداعَه، فلم يزل الفساد يسعي في العضو حتى هلك."
"And I saw another doctor incise a malignant tumour; after some days the place broke out in open ulceration, thereby adding to the misery of the patient.","ورأيت طبيباً آخر، بطَّ ورماً سرطانياً، فتقرح بعد أيام، حتى عظمت بليّة صاحبه، "
For a cancer that arises from a melancholic humour should never be touched by the knife unless it should happen to be in a part of the body which may be removed thoroughly and in its entirety.,"وذلك أن السرطان إذا كان محضاً من خلط سوداوي، فإنه لا ينبغي أن يُتعرض له بالحديد البتة، إلا أن يكون في عضو يحتمل أن يسـتأصل جميعه."
"Wherefore you must know, my sons, that operative surgery is divided into two parts, namely, where operation is associated with the health of the patient, and, on the other hand, where it is for the most part fraught with danger. ","ولهذا يا بَنيِّ؛ ينبغي لكم أن تعلموا أن العمل باليد، ينقسم قسمين؛ عمل تصحبه السلامة، وعمل يكون معه العطب في أكثر الحالات،"
Throughout the following book I point out wherever I have described an operation that is accompanied by fear and danger.,"وقد نبّهت في كل مكان يأتي من هذا الكتاب، على العمل الذي فيه الغرر والخوف،"
"It behoves you to be wary and to shun such, lest the ignorant have an opportunity to reproach and slander you.","فينبغي لكم أن تحذروه وترفضوه، لئلا يجد الجهّال السبيل الى القول والطعن،"
"Show, then, caution and care for yourselves and gentleness and perseverance for your patients.","فخذوا لأنفسكم بالحزم والحياطة، ولمرضاكم بالرفق والتثبت،"
Take the best road that leads to health and a happy outcome.,"واستعملوا الطريق الأفضل المؤدي إلى السلامة والعاقبة المحمودة،"
"Illnesses that are very threatening or difficult to cure, leave alone.","وتنكّبوا للأمراض الخطرة العسرة البرء،"
"Purify yourselves of anything which you fear may cause doubt as to your religious life and your secular life; for this will perpetuate your good name and will elevate your fortunes in this world and the next, For Galen once said in certain of his admonitions: 'Do not treat mischievous maladies lest you get the name of mischievous doctors.'","ونزّهوا أنفسكم عما تخافون أن يدخل عليكم الشبهة في دينكم ودنياكم، فهو أبقى لجاهكم، والآخرة لأقداركم، فقد قال جالينوس في بعض وصاياه: لا تداووا مرض سوء فتسمَّوا أطباء سوء."
I have divided this treatise into three books:,وقد قسمت هذه المقالة على ثلاثة أبواب:
BOOK ONE. Concerning the actual cautery; and cauterization by caustics. It is divided into chapters set in order from the head to the feet. The shapes of the instruments are shown and the iron cauteries and all things necessary for operating.,"الباب الأول: في الكيّ بالنار، والكيّ بالدواء الحاد، مبوّب مرتب من القُرن إلى القدم، وصور الآلات وحدائد الكي، وكل ما يحتاج إليه في العمل."
BOOK TWO. Concerning incision and perforation; blood-letting and cupping; wounds and the extraction of arrows and the like. The whole is divided into chapters in order; and illustrations of instruments are given.,"الباب الثاني: في الشق والبطّ والفصد والحجامة والجراحات وإخراج السهام، ونحو ذلك كله مبوب مرتّب، وصور الآلات."
"BOOK THREE. Concerning the setting of bones; dislocations; the treatment of sprains and the like. This is similarly divided into chapters set in order from head to feet, with illustrations of instruments","الباب الثالث: في الجبر والخلع وعلاج الوثي ونحو ذلك، كله مبوّب مرتب من القرن إلي القدم، وصور الآلات."
BOOK ONE,الباب الأول
ON CAUTERIZATION,في الكيّ
Before we expatiate on the actual operation of cautery it is necessary to mention its advantages and disadvantages and the temperament upon which it is to be used.,"وقبل أن نذكر العمل به، ينبغي أن نذكر كيفية منافعه ومضارّه، وفي أي مزاج يستعمل"
"I say that a discourse on the advantage and disadvantage of cautery is a long one, a subtle learning, a hidden secret. A great number of wise men have spoken on the subject with differing opinions.","فأقول: إن الكلامَ في كيفية منفعة الكي ومضارَّه، كلامٌ طويلٌ، وعلم دقيقٌ، وسرٌ خفي، وقد تكلم فيه جماعة من الحكماء، واختلفوا فيه،"
Lest I should be over long I have reduced their opinions to a summary.,"وقد اختصرت من كلامهم اليسير، مخافة التطويل،"
"Now I say that the cautery has universal application for every ill constitution, whether organic or functional, with the exception of two: the functional hot temperament and the functional dry temperament.","فأقول: إن الكي ينفع بالجملة لكل مزاج، يكون مع مادة وبغير مادة، حاشا مزاجين؛ وهما المزاج الحار من غير مادة، والمزاج اليابس من غير مادة،"
"About the organic dry temperament the Ancients differed, some saying that cautery helps in a constitution of this kind, while others said the opposite: that cautery is of no use in a disease caused by heat or dryness; for fire is naturally hot and dry and it is obviously absurd to treat a hot dry sickness with a hot dry remedy.","فأما المزاج الحار اليابس مع مادة، فقد اختلفوا فيه؛ فقال بعضهم إن الكي نافع فيه، وقال بعضهم بضد ذلك أن الكي لا يصلح في مرض يكون من الحرارة واليبوسة، لأن طبع النار الحرارة واليبوسة، ومن المحال أن يُستشفى من مرض حار يابس بدواء حار يابس،"
"But he who holds the opposite view says that actual cautery may help in the case of such hot dry illnesses as arise in the human body; for when you compare the human body, humid as it is, with the nature of fire you find the human body cold. I myself from much experience agree with this last opinion.","وقال الذي يقول بضد ذلك إن الكيّ بالنار قد ينتفع به في مرض حارَّ يابس يحدث في أبدان الناس، لأنك متى أضفت بدن الإنسان ورطوبته إلى مزاج النار، أصبت بدن الإنسان بارداً وأنا أقول بقوله، لأن التجربة قد كشفت لي ذلك مرات،"
"However, no one should attempt this operation unless he has had long training and practice in the use of the cautery, and is fully acquainted with the various human temperaments, and the character of the complaints in themselves; their causes, symptoms, and duration.","إلا أنه لا ينبغي أن يتصور على ذلك إلا من قد ارتاض ودرِّب في باب الكي دربة بالغة، ووقف على اختلاف مزاجات الناس، وحال الأمراض في أنفسها وأسبابها وأعراضها، ومدة زمانها،"
"Concerning the rest of the temperaments there is no reason for fear, particularly the cold and humid distempers; all medical men are agreed and none differs concerning the utility of the cautery in such cases.","وأما سائر الأمزجة فلا خوف عليك منها، ولا سيما الأمراض الباردة الرطبة، فقد اتفق جميع الأطباء عليها، ولم يختلفوا في النفع بالكي فيها."
"Now you should know, my sons, that the actual cautery and its superiority over cauterization with chemical caustics is one of the secrets of medicine.","واعلموا يا بَنِيَّ أن من سر التعالج بالكي بالنار، وفضله على الكي بالدواء المحرق"
For fire is a simple substance having no action except upon the actual part cauterized; nor does it do more than slightly harm any adjacent part.,"لأن النار جوهر مفرد لا يتعدى فعله العضو الذي كوي، ولا يضر بعضو آخر متصل به، إلا ضرراً يسيراً،"
But the effect of cauterization with caustic may spread to parts at a distance from that burnt; and also in the part cauterized it may give rise to a disease difficult to cure or even fatal.,"والكي بالدواء المحرق، قد يتعدى فعله إلى ما بعد من الأعضاء، وربما أحدث في العضو مرضاً يعسر برؤه، وربما قتل،"
"Whereas fire, on the other hand, on account of the nobility of its nature and its superiority has no such effect unless it is overdone.","والنار لشرفها وكرم جوهرها لا تفعل ذلك، إلا إن أفرطت."
"That has become clear to us by experience through length of service, devotion to the art, and acquaintance with the facts of the matter. So I need not prolong this discourse.","وقد اتضح لنا ذلك بالتجربة، لطول الخدمة والعناية بالصناعة والوقوف على حقائق الأمور، ولهذا استغنيت عن طول،"
"Were it not inappropriate to this my book I should relate to you a deep secret concerning fire, the manner of its action on bodies and its expulsion of diseases; with a reasoned philosophical discourse too subtle for your understanding.","ولولا أنه لا يليق بكتابي هذا لأوردت عليكم سراً في النار غامضاً، وكيفية فعلها في الأجسام، ونفيها للأمراض، بكلام فلسفي برهاني يدِقّ عن إفهامكم."
"Know also, my sons, that the Ancients disagreed also as to the fit time for cautery, affirming that spring was the best.","واعلموا يا بَنِيَّ؛ أنهم قد اختلفوا في الزمان الذي يصلح فيه الكي، وجعلوا أفضل الزمان زمن الربيع،"
